id_bat;nomen_miss;miss_area
40897;4;12.97
78719;4;13.45
78719;3;13.45
57136;4;18.35
85635;4;18.61
13198;4;23.43
9615;4;14.58
1703;4;40.7
30156;4;470.0
30156;1;580.0
34776;5;471.0
34776;3;471.0
44171;4;226.0
44171;1;380.0
38203;9;148.0
54856;9;294.0
75464;3;1088.0
11678;9;274.0
97396;1;7.0
37400;4;88.0
42953;9;273.0
42953;1;812.0
87577;1;8.0
87910;1;9.0
13646;3;1650.0
50000;4;14.0
1162;9;1694.0
1162;3;1385.0
31606;1;7.0
87824;1;21.0
60617;16;2342.0
64045;3;1730.0
3047;9;31.0
44860;9;32.0
44860;3;179.0
97610;9;214.0
81760;14;3118.0
81760;3;1643.0
96692;8;1746.0
4138;4;40.0
73998;9;100.0
35757;4;9784.0
35757;5;1050.0
61874;3;2076.0
74425;9;55.0
74820;4;252.0
74820;3;504.0
13052;9;120.0
69373;5;122.0
61425;9;127.0
32626;3;1232.0
73749;3;474.51
37891;9;196.2
26503;4;542.56
16465;9;317.65
32761;9;130.86
31359;4;753.88
31359;3;884.0
20382;14;908.68
16301;14;1325.32
16301;3;250.0
96868;3;28342.86
46427;9;112.87
97628;11;6512.08
80181;3;16635.6
75353;1;396.12
90730;5;155.24
74585;3;250.1
61052;3;80.0
95293;5;306.37
86223;5;184.06
49668;3;374.6
71595;5;422.45
81265;4;111.48
76475;3;99.18
24310;5;44.21
41269;3;99.06
69405;1;80.52000000000001
47210;1;204.3
33060;1;339.36
92669;1;84.87
77713;1;386.8
74937;5;48.77
30081;1;98.08
41916;1;483.28
37423;1;71.4
49931;1;54.77
16195;1;215.6
55455;1;11.66
16759;4;108.4
11110;4;57.2
61893;1;58.32
28434;1;372.52
58612;1;372.84
59457;1;231.12
38447;4;114.07
3253;14;77.79
69740;4;31.11
6645;1;31.17
55315;1;379.36
35437;1;34.25
25015;1;68.6
213;1;69.5
69272;1;34.92
14925;5;65.3
14925;1;130.6
68843;1;38.82
78618;1;37.0
79012;9;50.0
8347;1;393.0
17758;4;367.0
46184;5;746.0
75496;4;593.0
18432;3;750.0
76137;7;100.0
76137;3;352.0
67743;4;406.0
22256;5;1830.0
24923;4;281.0
24923;1;136.0
72136;3;862.0
10785;16;7184.0
15919;3;900.0
9035;8;350.0
65865;5;4434.0
48098;5;1784.0
32001;5;50.0
44121;5;2246.0
19386;9;1500.0
19386;3;3680.0
9901;1;204.0
65018;1;95.0
62072;9;147.0
78528;9;209.0
1204;9;306.0
17013;5;554.0
17013;3;200.0
28581;9;97.0
93121;13;217.0
59146;4;294.8
39468;1;1399.95
20533;9;7539.8
16984;1;697.77
20286;9;119.82
47140;9;119.9
90920;3;97.14
99803;3;897.4
30892;1;1701.45
8102;3;2828.4
32019;13;40506.46
32497;4;59.0
32497;13;20.0
73546;6;479.0
7055;6;393.0
88879;1;60.0
71623;4;4.0
51430;1;10.0
64725;14;820.0
85585;3;3045.0
14376;5;300.0
14376;3;2668.0
7224;1;100.0
55775;1;206.0
95779;1;192.0
44797;5;82.0
33888;16;7.0
56002;16;14.0
33483;4;22.0
40797;4;128.0
6802;4;19.0
59174;4;23.0
17764;16;23.0
9709;16;153.0
65859;1;152.0
94279;16;365.0
57418;5;235.11
38279;5;200.31
39541;4;21.01
80598;3;263.13
26955;9;271.23
24456;5;267.43
98392;1;31.26
5317;14;32.55
94472;4;822.04
44065;6;1947.66
44065;3;1355.66
60767;3;262.0
8116;5;1923.18
28444;9;7209.42
34073;5;1707.02
81202;4;1566.85
81202;3;1334.0
13821;9;15894.08
9526;14;8.53
54401;3;76.0
96048;4;31.0
15022;1;33.0
92649;5;2030.0
4689;3;1216.0
84545;3;314.0
41031;7;160.0
64044;4;5650.0
22231;16;1000.0
92685;4;12.0
66375;4;25.0
75707;5;29.33
85298;14;63.0
44235;14;47.0
31770;14;6.0
35036;7;353.93
84636;3;303.56
64373;1;78.57
55566;20;649.32
29175;7;27.18
82625;1;527.3
31275;9;106.31
19586;7;151.94
38615;3;445.42
80515;1;18.21
72233;5;162.68
47516;1;530.08
2928;7;161.74
72169;5;250.0
91833;7;374.14
52095;9;160.0
87098;9;194.99
49920;1;22.88
40824;1;109.43
46626;5;320.34000000000003
74936;1;164.93
12587;1;210.16
35754;6;69.64
9412;9;407.95
50980;4;200.0
50980;1;1130.0
44538;1;27.72
22919;5;32.49
12330;1;111.49
29525;1;501.98
7614;3;171.73
93464;5;442.14
41806;5;574.56
56729;1;80.39
76147;5;86.63
27002;3;112.84
70745;7;113.15
25700;5;175.58
13342;1;81.68
96740;3;351.6
12206;3;507.96
33444;7;200.0
82530;3;225.82
38009;1;261.42
48449;1;114.88
77063;1;181.72
203;1;182.23
1045;3;183.95
37539;1;187.71
92311;3;560.48
