id_bat;area;level_all;SP;id_block;nomenclature;regroupement_fill;area_occ;source;date_insert;date_out
828657;97.49;2.0;173.7641631505955;502;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
906539;100.41;2.0;200.8243883954312;502;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
834286;99.0;2.0;198.01516789544604;502;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
251011;100.65;2.0;198.31833209190896;499;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
999180;90.11;2.0;179.49834707732506;499;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
413869;102.47;2.0;199.0531391836728;499;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
93171;104.53;3.0;273.0586391582356;499;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
883744;118.01;2.0;165.23596163626704;499;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
778946;52.59;2.0;100.57481778050696;499;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
377493;97.97;2.0;193.82639203686992;502;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
677552;99.41;2.0;198.80911099415763;502;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
824632;85.3;2.0;170.59726777219973;502;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
878534;70.68;2.0;141.34547090399664;502;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
938448;98.36;2.0;196.7230325025033;499;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
76431;95.33;2.0;190.6505805908336;499;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
194831;103.05;2.0;203.26215948652225;499;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
109237;95.22;2.0;190.44946733257407;502;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
538193;98.38;2.0;196.7575316489415;502;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
279878;97.75;2.0;195.49181237593;502;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
714872;103.54;2.0;155.91037322415272;499;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
631031;78.22;2.0;131.33719608919148;499;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
90250;74.88;2.0;133.42670932703714;499;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
114642;70.61;3.0;183.80064057411715;499;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
531385;90.7;3.0;214.06173091459743;499;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
632144;102.66;3.0;248.61709972002984;499;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
548163;126.02;2.0;207.7342208320944;499;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
730128;44.48;2.0;85.89882988831658;499;;;;;;
383508;81.31;2.0;108.6371042494997;499;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
680090;129.46;2.0;172.77376480251348;499;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
718754;98.26;2.0;196.4712975065885;499;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
145257;222.9;3.0;667.6792885860007;501;;;;;;
750824;400.8;4.0;1440.4399212786032;501;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
750824;400.8;4.0;1440.4399212786032;501;01.01.00.00;logement;;slrb;2025-02-04 14:08;
720425;196.14;3.0;587.7404350788173;501;;;;;;
996173;391.54;4.0;1436.8881660197883;501;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
996173;391.54;4.0;1436.8881660197883;501;01.01.00.00;logement;;slrb;2025-02-04 14:08;
107653;306.85;2.0;613.7085297195711;502;;;;;;
46038;78.09;2.0;113.4540228144261;499;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
884584;166.58;2.0;179.42043960117718;499;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
228416;71.05;2.0;108.11693913453712;499;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
808124;83.88;2.0;121.42132643197814;499;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
497591;70.57;2.0;118.79612453594386;499;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
788525;70.18;2.0;112.95341872821731;499;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
930176;196.88;3.0;602.4958617332535;501;;;;;;
909762;307.45;2.0;614.9082546377678;502;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
909762;307.45;2.0;614.9082546377678;502;01.00.00.00;logement;;oip;2024-09-18 15:39;
965823;310.76;2.0;621.5173282271942;502;;;;;;
