id_bat;area;level_all;SP;id_block;nomenclature;regroupement_fill;date_insert;date_out;nomen
400231;105.68;1.0;105.6819309922626;466;;;;;
877576;12.38;;12.377096862345384;466;06.02.01.00;équipements;2024-09-18 15:53;;06
877576;12.38;;12.377096862345384;466;06.02.02.00;équipements;2024-09-18 15:53;;06
164670;47.68;1.0;47.67674850185797;466;06.02.01.00;équipements;2024-09-18 15:53;;06
164670;47.68;1.0;47.67674850185797;466;06.02.02.00;équipements;2024-09-18 15:53;;06
907509;80.1;1.0;80.10033500226152;466;06.02.01.00;équipements;2024-09-18 15:53;;06
907509;80.1;1.0;80.10033500226152;466;06.02.02.00;équipements;2024-09-18 15:53;;06
371691;21.95;;21.94624799787603;726;;;;;
595055;44.37;1.0;44.373032989651776;726;;;;;
406693;19922.85;1.0;19922.8547162714;726;01.00.00.00;logement;2024-09-18 15:32;;01
406693;19922.85;1.0;19922.8547162714;726;16.01.01.00;équipements;2024-10-14 14:16;;16
406693;19922.85;1.0;19922.8547162714;726;05.05.07.01;commerce;2024-10-17 15:01;;05
406693;19922.85;1.0;19922.8547162714;726;04.04.03.00;industrie;2024-11-14 15:18;;04
391356;186.17;3.0;458.9757065389597;726;;;;;
335076;305.6;2.0;768.5396980180069;726;;;;;
574784;3099.55;1.0;3099.551114366572;726;04.04.03.00;industrie;2024-11-14 15:18;;04
534528;9853.01;1.0;9853.01401042706;726;04.04.03.00;industrie;2024-11-14 15:18;;04
315611;2013.33;1.0;2013.3304741373115;726;04.04.03.00;industrie;2024-11-14 15:18;;04
940622;233.67;1.0;233.66799041366875;579;04.05.02.00;industrie;2024-11-14 15:18;;04
185143;766.13;1.0;766.1296339946289;579;04.05.02.00;industrie;2024-11-14 15:18;;04
335923;91.64;2.0;189.44016183430944;579;;;;;
683682;123.55;2.0;242.86948771716973;579;;;;;
327647;2.02;;2.015377998347085;579;05.50.00.00;commerce;2024-09-23 10:43;;05
950830;1074.63;2.0;1960.1551559119669;579;04.05.00.00;industrie;2024-11-14 15:18;;04
908081;9.29;;9.293518581596818;579;;;;;
639434;856.77;2.0;1577.5578661557538;579;01.00.00.00;logement;2024-09-18 15:32;;01
639434;856.77;2.0;1577.5578661557538;579;04.02.17.00;industrie;2024-11-14 15:18;;04
176596;8.9;;8.903884496175744;579;;;;;
799759;706.0;1.0;705.9986999797061;579;04.02.17.00;industrie;2024-11-14 15:18;;04
813275;131.48;3.0;298.0524356981828;579;01.00.00.00;logement;2024-09-18 15:32;;01
218443;65.57;4.0;195.0958171815683;579;;;;;
163033;144.39;3.0;332.1539895221396;579;01.00.00.00;logement;2024-09-18 15:32;;01
626892;185.38;4.0;741.4320835884185;579;01.00.00.00;logement;2024-09-18 15:32;;01
626892;185.38;4.0;741.4320835884185;579;05.06.01.01;commerce;2024-10-17 15:01;;05
626892;185.38;4.0;741.4320835884185;579;05.01.02.03;commerce;2024-10-17 15:01;;05
182941;1544.91;2.0;2508.281324471424;579;01.00.00.00;logement;2024-09-18 15:32;;01
182941;1544.91;2.0;2508.281324471424;579;04.00.02.99;industrie;2024-11-14 15:18;;04
318986;74.9;3.0;213.8917375726461;579;;;;;
949534;16.67;;16.666584442985485;579;01.50.00.00;logement;2024-09-23 10:43;;01
670320;18.49;2.0;36.975119994171465;579;;;;;
727120;138.41;3.0;331.16825808803884;579;01.00.00.00;logement;2024-09-18 15:32;;01
153114;99.3;4.0;299.1340804537816;579;01.00.00.00;logement;2024-09-18 15:32;;01
498475;88.67;3.0;182.1726662965511;579;01.00.00.00;logement;2024-09-18 15:32;;01
954321;9.55;;9.547519000171077;579;;;;;
235699;5.67;;5.667600001735356;579;;;;;
591165;7.99;;7.988233004948044;579;;;;;
430156;6.31;;6.306059999697199;579;;;;;
881436;5.53;;5.532004001509646;579;;;;;
816574;5.73;;5.730122000345614;579;;;;;
645503;804.8;3.0;1827.8971795851503;579;01.00.00.00;logement;2024-09-18 15:32;;01
645503;804.8;3.0;1827.8971795851503;579;05.04.03.02;commerce;2024-10-17 15:01;;05
645503;804.8;3.0;1827.8971795851503;579;04.04.03.00;industrie;2024-11-14 15:18;;04
873085;77.62;3.0;203.06165921021108;579;01.00.00.00;logement;2024-09-18 15:32;;01
849093;69.15;3.0;176.51842854184736;579;01.00.00.00;logement;2024-09-18 15:32;;01
993113;315.17;2.0;571.9411912863592;579;;;;;
965541;232.86;2.0;465.7257512310148;579;01.00.00.00;logement;2024-09-18 15:32;;01
603069;11.52;;11.51568285005142;579;;;;;
715577;572.65;2.0;1105.4025909423149;579;01.00.00.00;logement;2024-09-18 15:32;;01
244713;26.56;;26.55744146782638;579;;;;;
724261;561.74;4.0;2207.9063738482123;579;04.00.01.99;industrie;2024-11-14 15:18;;04
724261;561.74;4.0;2207.9063738482123;579;04.00.02.99;industrie;2024-11-14 15:18;;04
718806;234.68;4.0;738.6498219685772;579;01.00.00.00;logement;2024-09-18 15:32;;01
328988;1147.52;2.0;2265.874795870505;579;04.00.02.99;industrie;2024-11-14 15:18;;04
178391;56.22;1.0;56.22082999074176;579;;;;;
797207;15.95;;15.95449999104382;579;;;;;
463595;9.44;;9.43962749460847;579;;;;;
222280;67.84;1.0;67.83964899634921;579;05.08.04.07;commerce;2024-10-17 15:01;;05
764600;135.43;4.0;541.7128156202568;579;01.00.00.00;logement;2024-09-18 15:32;;01
764600;135.43;4.0;541.7128156202568;579;11.00.00.00;équipements;2024-09-18 15:52;;11
764600;135.43;4.0;541.7128156202568;579;03.00.00.99;bureau;2025-01-06 12:49:00;;03
231968;5766.25;2.0;11464.055573356209;579;04.04.02.00;industrie;2024-11-14 15:18;;04
940015;5.9;;5.904689126172725;579;;;;;
965370;4.98;;4.977348551667134;579;;;;;
798638;9.03;;9.02575592866586;579;;;;;
742347;8.73;;8.729245121277003;579;;;;;
935778;1873.85;5.0;8995.910828046604;579;01.00.00.00;logement;2024-09-18 15:32;;01
